predicted_drug,log_ratio_1,log_ratio_2,log_ratio_3,log_ratio_4,log_ratio_5,log_ratio_6,log_ratio_7,log_ratio_8,log_ratio_9,log_ratio_10,log_ratio_11,log_ratio_12,log_ratio_13,log_ratio_14,log_ratio_15,log_ratio_16,log_ratio_17,log_ratio_18,log_ratio_19,log_ratio_20,log_ratio_21,log_ratio_22,log_ratio_23,log_ratio_24,log_ratio_25,log_ratio_26,log_ratio_27,log_ratio_28,log_ratio_29,log_ratio_30,log_ratio_31,log_ratio_32,log_ratio_33,log_ratio_34,log_ratio_35,log_ratio_36,log_ratio_37,log_ratio_38,log_ratio_39,log_ratio_40,log_ratio_41,log_ratio_42,log_ratio_43,log_ratio_44,log_ratio_45,log_ratio_46,log_ratio_47,log_ratio_48,log_ratio_49,log_ratio_50,log_ratio_51,log_ratio_52,log_ratio_53
-6.606024,-0.31477600000000017,-0.2178760000000004,-0.16357599999999994,-0.09297600000000017,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.579919,-0.34088099999999955,-0.24398099999999978,-0.16478099999999962,-0.0978810000000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.553807,-0.24209299999999967,-0.16739299999999968,-0.06599299999999975,0.01620699999999964,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.453156,-0.2501439999999997,0.5272559999999995,0.26935600000000015,0.6805560000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.234398,0.012597999999999665,0.275798,0.7394979999999993,0.10129799999999989,0.10129799999999989,0.10769800000000007,0.3185979999999997,0.3479979999999996,0.1938979999999999,0.5530979999999994,0.8930979999999993,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.098174,-0.07572599999999952,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-6.0261745,0.5446884399999998,-0.37176550900000027,-0.40562377600000055,0.003898105000000207,1.4670835819999999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.9968934,-1.4846065999999993,-1.4233066,-1.3596065999999993,-1.3219066000000002,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.918003,0.8993685089999994,0.9350363389999998,0.9473867779999994,0.8530061509999998,0.8948113369999993,1.0385769309999997,1.051541908,0.9971842459999998,0.951426755,0.951426755,0.9180029999999997,0.9223243739999996,0.47897179499999964,0.9637604909999995,1.0709704599999998,0.154092189,0.5406774469999993,0.891900197,1.1243790630000001,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.907221,-0.24767899999999976,1.2476209999999996,-0.24767899999999976,0.9028209999999994,1.2476209999999996,1.4801209999999996,1.691821,1.3620209999999995,-0.24767899999999976,0.9936210000000001,1.1351209999999998,1.225321,1.2838209999999997,1.5604209999999998,-0.24767899999999976,0.5093209999999999,1.741021,1.753521,-0.24767899999999976,0.5507210000000002,1.638821,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.8596425,-0.01975750000000076,0.23074249999999985,0.47244249999999965,0.7410424999999998,0.7229424999999994,0.8036424999999996,0.8766425,1.4325424999999994,0.37154249999999944,0.46274250000000006,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.8534245,-0.13797549999999958,1.0735245000000004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.811543,2.2112430000000005,2.5390430000000004,2.0263430000000002,2.244543,3.1004430000000003,3.4275430000000005,3.3142430000000003,3.4655430000000003,3.1015430000000004,3.599543,3.5485430000000004,3.3942430000000003,4.050243,3.8099430000000005,3.7754430000000005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
-5.8034697,-0.07593030000000045,-0.08263029999999993,-0.04123029999999961,0.11096970000000006,-0.07593030000000045,0.0563697000000003,0.1235697,0.11736970000000024,0.21166969999999985,-0.04123029999999961,0.2200696999999998,0.11096970000000006,0.3585697000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
