best_model,value
-6.307177067,-6.151441428
-6.359613419,-5.48148606
-5.87913847,-6.397940009
-5.568640232,-6.431798276
-5.756114006,-6.3585
-5.763665676,-6.1002
-5.665142059,-6.129
-5.733863354,-6.0926
-6.108413696,-6.7033
-6.113286018,-5.9259
-5.825097561,-6.1838
-6.126178265,-5.7726
-4.722790241,-4.4672
-4.660335541,-4.6819
-4.609043121,-4.9172
-4.626129627,-4.6799
-4.637025356,-4.7167
-4.63961935,-4.567
-4.632383347,-4.618
-4.636050224,-4.5986
-4.621795177,-4.7235
-4.653644562,-4.5243
-4.657637119,-4.5935
-4.567938328,-4.7011
-6.062414646,-5.5058
-5.973459244,-5.8041
-5.793347359,-6.1427
-5.812531948,-5.8794
-5.686188698,-5.8861
-5.816353321,-5.8447
-5.711629868,-5.6925
-5.686374664,-5.8794
-5.699288368,-5.7471
-5.711503506,-5.6799
-5.701739788,-5.6861
-5.718651295,-5.5918
-5.83492136,-5.8447
-5.736868382,-5.5834
-5.680707932,-5.6925
-5.671163082,-5.4449
-4.759542465,-4.6091
-4.63841629,-4.7423
-5.235658646,-4.5452
-5.179605484,-4.5935
-6.139517784,-6.2218
-5.680531025,-5.9586
-5.96459341,-5.4949
-5.781795502,-5.7721
-5.77382946,-5.7399
-5.658349991,-5.7959
-5.695681095,-5.5528
-5.615923882,-5.9208
-5.708903313,-5.3872
-5.637224197,-5.8861
-5.698038101,-5.5376
-5.672853947,-5.5528
-5.565672874,-5.4089
-5.602673054,-5.3768
-5.488269806,-5.7696
-5.327885628,-4.8447
-5.329722404,-5.3188
-5.129833221,-5.1871
-5.360187054,-5.3872
-5.32413435,-5.5072
-5.257221699,-5.4949
-5.261800289,-5.5528
-4.9757061,-5.2757
-4.869871616,-4.8539
-4.851656914,-4.9788
-4.88878727,-4.9626
-4.785888195,-4.8386
-4.87421751,-4.6696
-4.84071064,-5.1367
-4.883989811,-4.9101
-4.805020332,-4.7011
-4.842567444,-4.5436
-4.826358318,-4.7305
-4.835902214,-4.6162
-6.199836254,-5.757
-5.973375797,-5.1481
-5.956256866,-5.1798
-5.622525215,-5.9547
-5.491967678,-5.8794
-5.204905033,-5.6289
-5.208261013,-5.3872
-5.440474033,-5.1186
-5.274724483,-5.1367
-5.282733917,-5.056
-4.97135067,-4.983
-5.13420105,-4.4271
-5.737713337,-5.6003
-5.72893095,-5.5607
-5.682322979,-5.6253
-5.595558643,-5.9547
-5.390349865,-5.7878
-5.145580292,-5.0164
-5.060641289,-5.6402
-5.455521107,-6.1096
-4.949056625,-4.6716
-4.885603428,-4.7545
-4.992192745,-4.8508
-5.130079746,-5.0362
-5.033312798,-5.2815
-5.00543499,-4.9914
-5.092618942,-5.1878
-5.171305656,-5.0655
-5.079478264,-5.3904
-5.154331684,-4.9393
-5.11813736,-5.5969
-4.936610699,-5.0655
-4.980526447,-5.2495
-5.13187027,-5.0429
-5.081532001,-5.5421
-5.118107796,-5.2175
-5.113075733,-5.2411
-5.161752224,-4.7055
-5.24159193,-4.8153
-5.032684326,-5.1811
-5.193541527,-5.0985
-5.026909828,-5.3382
-5.039331913,-5.3089
-5.226797581,-5.2108
-5.152431488,-5.0439
-5.126843929,-5.1532
-5.123585701,-5.1987
-5.108668327,-5.2163
-5.191714764,-5.4042
-5.08659029,-5.0223
-5.076054573,-4.9337
-5.062613964,-5.0342
-5.038720131,-5.1288
-5.184127808,-5.3924
-5.077571869,-5.0521
-5.080704689,-4.8713
-5.061141491,-5.0557
-5.031869888,-5.1284
-5.172690868,-5.0678
-5.053358555,-5.0313
-5.050115108,-5.0006
-5.045204639,-4.9031
-5.017754555,-5.0052
-5.302292347,-5.1068
-5.208399773,-5.1814
-5.190982819,-5.2827
-5.186351299,-5.3381
-5.14443922,-5.5549
-5.062080383,-5.3468
-5.05491066,-5.1739
-5.094969273,-5.0655
-5.120185375,-4.9508
-5.026312828,-4.8125
-4.933974266,-4.8356
-5.108496189,-4.9626
-5.166766644,-5.2079
-5.05624485,-5.1918
-5.023345947,-4.7016
-4.910991669,-4.8667
-4.836987495,-4.9959
-6.145049572,-6.1331
-5.963382244,-6.1331
-5.941804409,-6.1267
-6.034982681,-5.9158
-5.993110657,-5.8864
-5.49612236,-5.4377
-4.923970222,-5.104
-5.047145367,-4.6267
-4.97746706,-4.8262
-4.885440826,-5.2277
-5.285244465,-5.2418
-4.981265545,-4.9743
-4.899889469,-4.7219
-4.903522015,-4.6249
-4.944432735,-4.9686
-5.595106602,-5.4597
-5.037232876,-5.3625
-5.072844982,-5.0585
-5.056956291,-4.9154
-5.022583961,-5.2534
-5.453105927,-5.6108
-5.122722626,-5.2055
-5.099422455,-5.0114
-5.013824463,-5.1273
-5.014653206,-5.3261
-5.487118721,-5.2351
-4.983753681,-5.129
-5.043416023,-4.7693
-4.983271599,-4.8827
-4.970240116,-5.1013
