EXP2-MAE,EXP3-MAE,EXP2-AE,EXP3-AE
,,0.244086554,0.149297049
,,0.394261205,0.030330813
,,0.167653164,0.061098972
,,0.151128128,0.04174836
,,0.125642236,0.06872565
,,0.048978799,0.204802029
,,0.070287769,0.086523468
,,0.151512077,0.064653466
,,0.068179518,0.165764421
,,0.437934798,0.179037494
,,0.359483498,0.542928951
,,0.423199265,0.173702805
,,0.292941564,0.044809335
,,0.220212504,0.07026811
,,0.038573337,0.24869864
,,0.075825011,0.102238858
,,0.24078525,0.381840834
,,0.417563455,0.555039423
,,0.416034534,0.552641705
,,0.25865836,0.13358302
,,0.267194569,0.390247643
,,0.236889282,0.358532349
,,0.150276205,0.004992982
,,0.424858267,0.566751177
,,0.543693037,0.684232684
,,0.50500583,0.377400868
,,0.495629061,0.371225108
,,0.038472804,0.161132487
,,0.431380567,0.33986598
,,0.238814679,0.162076321
,,0.155636418,0.22487222
,,0.268787151,0.306794887
,,0.242144933,0.133001199
,,0.156020779,0.084318776
,,0.030414363,0.024483422
,,0.161325963,0.207187207
,,0.21155872,0.225435635
,,0.089016412,0.116049315
,,0.007304448,0.201224583
,,0.117139366,0.295068768
,,0.106034306,0.252925423
