SMILES,predicted_value,value
O=C(O)c1cc(=O)c2c(OCC(O)COc3cccc4oc(C(=O)O)cc(=O)c34)cccc2o1,-4.785234928,-4.2447
O=C(O)c1ccccc1-c1c2ccc(=O)cc-2oc2cc(O)ccc12,-4.874005318,-5.1124
N[C@@H](Cc1ccccc1)C(=O)O,-4.827124119,-4.6289
Nc1nc(/C(=C/CC(=O)O)C(=O)N[C@@H]2C(=O)N3C(C(=O)O)=CCS[C@H]23)cs1,-4.90104866,-4.9303
N[C@@H](Cc1ccc(O)c(O)c1)C(=O)O,-4.985808372,-4.4384
,-4.983357906,-4.8732
Nc1ccncc1,-5.003308773,-5.5272
O=C(NC[C@H]1CN(c2ccc(N3CCOCC3=O)cc2)C(=O)O1)c1ccc(Cl)s1,-5.409647942,-5.3054
,-4.964878082,-5.1746
NCCc1ccc(O)c(O)c1,-4.965001583,-5.5272
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CS[C@H]12)c1ccccc1,-5.080234051,-4.6944
,-5.079287529,-4.9821
O=C(/C=C/c1ccc(O)cc1)c1ccc(O)cc1O,-5.689200401,-5.4401
CCN(CC)CCNC(=O)c1ccc(N)cc1,-4.897197723,-5.0173
,-4.704094887,-4.3973
,-5.017424583,-4.8162
O=C(CCCCCCC(=O)Nc1ccccc1)NO,-4.763635635,-4.5382
,-4.933439732,-4.5772
,-4.953770161,-5.2581
,-4.960178852,-4.8489
Nc1nc2c(ncn2COCCO)c(=O)[nH]1,-5.007266521,-5.4949
N[C@@H](C(=O)N[C@@H]1C(=O)N2C(C(=O)O)=C(Cl)CC[C@H]12)c1ccccc1,-5.320327282,-5.7645
CCC(=O)N(c1ccccc1)C1(COC)CCN(CCn2nnn(CC)c2=O)CC1,-5.102440834,-4.7206
O=C(O)c1ccncc1,-5.109107018,-5.1141
,-5.10521698,-5.2388
,-5.105399132,-5.4828
,-4.760406017,-4.639
CCN(CC)CC(=O)Nc1c(C)cccc1C,-4.532052994,-4.6428
NCCC(O)(P(=O)(O)O)P(=O)(O)O,-4.457707405,-4.519
NCCCC(O)(P(=O)(O)O)P(=O)(O)O,-4.563661575,-4.6904
,-4.497612476,-4.4603
O=c1c2ccccc2nc2n1CCc1c-2[nH]c2ccccc12,-4.533640385,-4.7582
,-4.547734261,-4.7854
CCN(CC)C(=O)[C@@]1(c2ccccc2)C[C@H]1CN,-4.559698105,-4.5586
CCN1CCN(C(=O)N[C@@H](C(=O)N[C@@H]2C(=O)N3[C@@H]2SC(C)(C)[C@@H]3C(=O)O)c2ccccc2)C(=O)C1=O,-4.581716537,-4.8894
O=c1[nH]cnc2c1ncn2[C@H]1CC[C@@H](CO)O1,-5.131959438,-5.857
O=c1cc(-c2ccccc2)oc2ccccc12,-4.533705711,-4.4972
,-4.533782959,-4.6878
NS(=O)(=O)c1cc2c(cc1Cl)NCNS2(=O)=O,-4.614684582,-4.8901
COc1cc([C@@H]2c3cc4c(cc3[C@@H](O[C@@H]3O[C@@H]5CO[C@@H](c6cccs6)O[C@H]5[C@H](O)[C@H]3O)[C@H]3COC(=O)[C@H]23)OCO4)cc(OC)c1O,-4.614397049,-4.4651
O=c1cc(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,-4.802069187,-4.8324
OCCN(CCO)c1nc(N2CCCCC2)c2nc(N(CCO)CCO)nc(N3CCCCC3)c2n1,-4.654901028,-4.716
CC(C)OC(=O)C(C)(C)Oc1ccc(C(=O)c2ccc(Cl)cc2)cc1,-4.56374836,-4.522
CCN[C@H]1C[C@H](C)S(=O)(=O)c2sc(S(N)(=O)=O)cc21,-4.63347435,-4.7022
NS(=O)(=O)c1ccc(Cl)cc1,-4.590497971,-4.7953
CCN(CC)CCNC(=O)c1cc(Cl)c(N)cc1OC,-4.695476532,-4.782
,-4.685646534,-4.7503
NCCCC[C@H](N[C@@H](CCc1ccccc1)C(=O)O)C(=O)N1CCC[C@H]1C(=O)O,-4.682835579,-4.8486
O=c1[nH]c(=O)n([C@H]2C[C@H](O)[C@@H](CO)O2)cc1F,-4.712337494,-4.5333
NC[C@H]1CC[C@H](C(=O)O)CC1,-5.187571049,-5.7305
,-4.669202805,-4.4955
,-4.671209335,-4.6264
,-4.70083189,-4.7711
,-4.70360136,-4.9523
O=C(c1ccc(F)cc1)C1CCN(CCn2c(=O)[nH]c3ccccc3c2=O)CC1,-5.149438858,-5.0472
,-5.102440834,-4.7206
,-5.082439423,-4.5274
,-5.074641705,-4.522
,-5.10521698,-5.2388
CN[C@@H](C)[C@@H](O)c1ccccc1,-5.087447643,-4.6972
,-5.080032349,-4.7215
,-5.109107018,-5.1141
O=c1ccc2ccccc2o1,-5.089351177,-4.5226
,-5.081332684,-4.3971
COc1ccc([C@@H]2Sc3ccccc3N(CCN(C)C)C(=O)[C@@H]2OC(C)=O)cc1,-5.105399132,-5.4828
CCOC(=O)N1CCC(=C2c3ccc(Cl)cc3CCc3cccnc32)CC1,-5.087174892,-5.4584
Cc1c(Cl)cccc1Nc1ccccc1C(=O)O,-5.079432487,-4.9183
,-4.77473402,-5.1146
O=c1cc(-c2ccc(O)cc2)oc2cc(O)cc(O)c12,-4.756223679,-4.9183
OC[C@@H](O)[C@@H](O)[C@H](O)[C@H](O)CO,-4.74707222,-4.5222
NCC1CCC(C(=O)O)CC1,-4.704094887,-4.3973
OC(Cn1cncn1)(Cn1cncn1)c1ccc(F)cc1F,-4.884298801,-5.0173
,-4.837981224,-4.9223
O=c1n(CCCN2CCN(c3cccc(Cl)c3)CC2)nc2ccccn12,-4.818183422,-4.7937
,-4.809387207,-4.6022
CCOC(=O)[C@H](CCc1ccccc1)N[C@@H](C)C(=O)N1CCC[C@H]1C(=O)O,-4.763635635,-4.5382
,-5.032149315,-4.9161
,-5.017424583,-4.8162
,-4.992068768,-4.697
,-4.949925423,-4.697
,-4.930420876,-4.6492
,-6.225004196,-5.699
,-6.029154778,-4.9957
,-5.590594292,-6.7471
,-5.804664135,-6.6882
,-5.774203777,-6.8827
OCC(O)CO,-5.802542686,-6.9788
Cc1ccc(C(=O)c2ccc(CC(=O)O)n2C)cc1,-5.771901608,-7.0088
OCCN1CCN(CC/C=C2/c3ccccc3Sc3ccc(C(F)(F)F)cc32)CC1,-5.476453304,-5.1302
,-5.442784309,-5.2457
,-5.443501949,-5.5114
,-5.668837547,-5.585
,-5.436031818,-5.5272
,-5.628126621,-5.3958
,-5.651727676,-6.3279
,-5.678736687,-5.4034
CC[C@@]1(O)C(=O)OCc2c1cc1n(c2=O)Cc2cc3c(CN(C)C)c(O)ccc3nc2-1,-5.673317909,-5.1599
CN1C(=O)CN=C(c2ccccc2)c2cc(Cl)ccc21,-5.685515404,-4.9859
CN1CCN(C2=Nc3cc(Cl)ccc3Nc3ccccc32)CC1,-5.680944443,-4.8271
Cc1ccc(NC(=O)c2ccc(CN3CCN(C)CC3)cc2)cc1Nc1nccc(-c2cccnc2)n1,-5.687578678,-4.7647
,-5.683585167,-4.7201
Cc1ccc(/C(=C/CN2CCCC2)c2cccc(/C=C/C(=O)O)n2)cc1,-5.493880749,-4.6582
,-5.493880749,-4.6698
,-5.689050674,-4.4942
